COMPANY_ID,ASX_TICKER,COMPANY_NAME,GICS_SECTOR,GICS_INDUSTRY,MARKET_CAP_AUD,HQ_CITY,HQ_COUNTRY,EMPLOYEE_COUNT,WEBSITE_URL,CAREERS_URL,IR_URL,BLOG_URL,GOVERNANCE_URL
e9a289f38c07e283,BFL.AX,BSP Financial Group,Financials,,,,AU,,,,,,
dc62ae3f29e93db4,BGA.AX,Bega Cheese,Consumer Staples,,,,AU,,,,,,
16f44843b7615002,BGL.AX,Bellevue Gold,Materials,,,,AU,,,,,,
0ab38321044150c3,BHP.AX,BHP,Materials,,,,AU,,,,,,
f8d40375a26598b8,BOQ.AX,Bank of Queensland,Financials,,,,AU,,,,,,
7ee52fd06a3f2181,BPT.AX,Beach Energy,Energy,,,,AU,,,,,,
d98008b7fda711c4,BRG.AX,Breville Group,Consumer Discretionary,,,,AU,,,,,,
ab6c857acecd60ce,BSL.AX,BlueScope,Materials,,,,AU,,,,,,
0961e72e09301a3a,BWP.AX,BWP Trust,Real Estate,,,,AU,,,,,,
55f4d101f03297e6,BXB.AX,Brambles,Industrials,,,,AU,,,,,,
495864c316006d47,CAR.AX,CAR Group,Communication Services,,,,AU,,,,,,
96fce0ecda6da710,CBA.AX,Commonwealth Bank,Financials,,,,AU,,,,,,
d7de0d0e7f60fd0c,CDA.AX,Codan,Information Technology,,,,AU,,,,,,
0113a2b56f5bddb3,CEN.AX,Contact Energy,Utilities,,,,AU,,,,,,
884da9bb4846bfb9,CGF.AX,Challenger,Financials,,,,AU,,,,,,
66a576fbbe0a58f0,CHC.AX,Charter Hall,Real Estate,,,,AU,,,,,,
06f8499945ac527c,CIA.AX,Champion Iron,Materials,,,,AU,,,,,,
a8706e0408c5064a,CIP.AX,Centuria Industrial REIT,Real Estate,,,,AU,,,,,,
cc74a5fff74d34d5,CLW.AX,Charter Hall Long WALE REIT,Real Estate,,,,AU,,,,,,
2ae5f40c200cbc88,CMM.AX,Capricorn Metals,Materials,,,,AU,,,,,,
ede0d35e46a76cb5,CNU.AX,Chorus,Communication Services,,,,AU,,,,,,
edf6d81b475cad8b,COH.AX,Cochlear,Healthcare,,,,AU,,,,,,
8c6e4586721eada2,COL.AX,Coles Group,Consumer Staples,,,,AU,,,,,,
3bae59a9cd8c8a80,CPU.AX,Computershare,Information Technology,,,,AU,,,,,,
41fd2a590979c1b4,CQR.AX,Charter Hall Retail REIT,Real Estate,,,,AU,,,,,,
4df235cf18525ae5,CSC.AX,Capstone Copper,Materials,,,,AU,,,,,,
ae04de5ca1fbe4fb,CSL.AX,CSL,Healthcare,,,,AU,,,,,,
e40c773318fec74f,CTD.AX,Corporate Travel Management,Consumer Discretionary,,,,AU,,,,,,
1abed4810f2fd901,CWY.AX,Cleanaway,Industrials,,,,AU,,,,,,
c2d3946bed0e371c,CYL.AX,Catalyst Metals,Materials,,,,AU,,,,,,
f3b36fc6ab28e9b0,DBI.AX,Dalrymple Bay Infrastructure,Industrials,,,,AU,,,,,,
e770c26070a304ed,DNL.AX,Dyno Nobel,Materials,,,,AU,,,,,,
fdb225a51af22462,DOW.AX,Downer Group,Industrials,,,,AU,,,,,,
361ea86216d4a927,DRO.AX,Droneshield,Industrials,,,,AU,,,,,,
7921fbf542b09944,DRR.AX,Deterra Royalties,Materials,,,,AU,,,,,,
62efe85dc786f15c,DXS.AX,Dexus,Real Estate,,,,AU,,,,,,
33d5db36e825b8fe,DYL.AX,Deep Yellow,Energy,,,,AU,,,,,,
95518a37abc88bc3,EBO.AX,EBOS Group,Healthcare,,,,AU,,,,,,
69205003781e3e23,EDV.AX,Endeavour Group,Consumer Staples,,,,AU,,,,,,
3a7fedd308afdbf2,EMR.AX,Emerald Resources,Materials,,,,AU,,,,,,
9d98fce062346a4b,EOS.AX,Electro Optic Systems Holdings,Industrials,,,,AU,,,,,,
6dbcfab576a1bc3a,EVN.AX,Evolution Mining,Materials,,,,AU,,,,,,
53c5c46cdbe66490,EVT.AX,EVT,Communication Services,,,,AU,,,,,,
c235b0d42151a077,FBU.AX,Fletcher Building,Industrials,,,,AU,,,,,,
35d7749d7193e4cd,FLT.AX,Flight Centre Travel Group,Consumer Discretionary,,,,AU,,,,,,
7bbf353a0082e90f,FMG.AX,Fortescue,Materials,,,,AU,,,,,,
9a4560cf79acb39c,FPH.AX,Fisher & Paykel Healthcare,Healthcare,,,,AU,,,,,,
cd1b8941a29d9557,FRW.AX,Freightways Group,Industrials,,,,AU,,,,,,
ac793caa7fb8c133,GDG.AX,Generation Development Group,Financials,,,,AU,,,,,,
ef9363ad247a0982,GGP.AX,Greatland Resources,Materials,,,,AU,,,,,,
bd3f37458eefc079,GMD.AX,Genesis Minerals,Materials,,,,AU,,,,,,
9e088bbfd6728653,GMG.AX,Goodman Group,Real Estate,,,,AU,,,,,,
e3c75fe99c190233,GNE.AX,Genesis Energy,Utilities,,,,AU,,,,,,
029037f6924e2181,GPT.AX,GPT Group,Real Estate,,,,AU,,,,,,
22edb2c09d128075,GQG.AX,GQG Partners,Financials,,,,AU,,,,,,
1235bbd79b1885e9,HDN.AX,HomeCo Daily Needs REIT,Real Estate,,,,AU,,,,,,
fef6f80d609fe93a,HUB.AX,HUB24,Financials,,,,AU,,,,,,
0f3798aeba493703,HVN.AX,Harvey Norman,Consumer Discretionary,,,,AU,,,,,,
c096d66121626913,IAG.AX,Insurance Australia Group,Financials,,,,AU,,,,,,
f6cea5c444fa2a70,IFL.AX,Insignia Financial,Financials,,,,AU,,,,,,
3bc693aae97ecf51,IFT.AX,Infratil,Financials,,,,AU,,,,,,
221d48ef8d645e2a,IGO.AX,IGO,Materials,,,,AU,,,,,,
fde2f11dcda6df07,ILU.AX,Iluka Resources,Materials,,,,AU,,,,,,
26b0cf828f8ce7b5,IMD.AX,IMDEX,Materials,,,,AU,,,,,,
b4edc24d262bea12,JBH.AX,JB Hi-Fi,Consumer Discretionary,,,,AU,,,,,,
4b2890ade9b6591d,JHX.AX,James Hardie,Materials,,,,AU,,,,,,
9dd7c39f018b908e,L1G.AX,L1 Group,Financials,,,,AU,,,,,,
2e7a5e3cf707b6e5,LLC.AX,Lendlease,Real Estate,,,,AU,,,,,,
2773f8e06af718fa,LNW.AX,Light & Wonder,Consumer Discretionary,,,,AU,,,,,,
08c0471c564a4802,LOV.AX,Lovisa,Consumer Discretionary,,,,AU,,,,,,
456d85d1d59910a9,LSF.AX,L1 Long Short Fund,Financials,,,,AU,,,,,,
015f98555c06dc16,LTR.AX,Liontown Resources,Materials,,,,AU,,,,,,
bff000a9271d4fee,LYC.AX,Lynas Rare Earths,Materials,,,,AU,,,,,,
455bf2c3cfc3b94e,MCY.AX,Mercury NZ,Utilities,,,,AU,,,,,,
11aec46bd1eb641f,MEZ.AX,Meridian Energy,Utilities,,,,AU,,,,,,
d27d7eb46fcb0aea,MFF.AX,MFF Capital Investments,Financials,,,,AU,,,,,,
5109138813047f83,MFG.AX,Magellan Financial Group,Financials,,,,AU,,,,,,
5554c6a86fc798bd,MGR.AX,Mirvac,Real Estate,,,,AU,,,,,,
30996833ed043f67,MIN.AX,Mineral Resources,Materials,,,,AU,,,,,,
42f4a79bd7ad90e1,MND.AX,Monadelphous Group,Industrials,,,,AU,,,,,,
01f9acd0c4cac6fd,MPL.AX,Medibank,Financials,,,,AU,,,,,,
3cd2c73d43faaa84,MQG.AX,Macquarie Group,Financials,,,,AU,,,,,,
817b5fe0c0523cf0,MSB.AX,Mesoblast,Healthcare,,,,AU,,,,,,
f729f98cc9821130,MTS.AX,Metcash,Consumer Staples,,,,AU,,,,,,
ff1b033ef6ed6d28,MXT.AX,Metrics Master Income Trust,Financials,,,,AU,,,,,,
d8eff96eedeeb93f,NAB.AX,National Australia Bank,Financials,,,,AU,,,,,,
8b0cfb69c83c6a2b,NEM.AX,Newmont,Materials,,,,AU,,,,,,
bc10985d8d91ea34,NHC.AX,New Hope,Energy,,,,AU,,,,,,
5bf885dacdea28b6,NHF.AX,Nib,Financials,,,,AU,,,,,,
7cd2ff33d711b646,NIC.AX,Nickel Industries,Materials,,,,AU,,,,,,
6921ba3ce2fc447a,NSR.AX,National Storage,Real Estate,,,,AU,,,,,,
242f6ce54961190f,NST.AX,Northern Star Resources,Materials,,,,AU,,,,,,
14f29b30da946fb1,NWH.AX,NRW Holdings,Industrials,,,,AU,,,,,,
9d2661412a8c0598,NWL.AX,Netwealth Group,Financials,,,,AU,,,,,,
eff697b4e8233a8c,NWS.AX,News Corp Class B,Communication Services,,,,AU,,,,,,
832764c2ad0f50d9,NXG.AX,Nexgen Energy,Energy,,,,AU,,,,,,
163f72866e88c88a,NXT.AX,NextDC,Information Technology,,,,AU,,,,,,
9db9954babcc0dd8,OBM.AX,Ora Banda Mining,Materials,,,,AU,,,,,,
fe21504d38fe07e2,ORA.AX,Orora,Materials,,,,AU,,,,,,
c3d7402de236073a,ORG.AX,Origin Energy,Utilities,,,,AU,,,,,,
d5eea17f99beb68e,ORI.AX,Orica,Materials,,,,AU,,,,,,
76f448469936efdd,PDI.AX,Predictive Discovery,Materials,,,,AU,,,,,,
9611368c3a3554d6,PDN.AX,Paladin Energy,Energy,,,,AU,,,,,,
5b352eef24940b48,PLS.AX,PLS Group,Materials,,,,AU,,,,,,
66b550dfd777bbed,PME.AX,Pro Medicus,Healthcare,,,,AU,,,,,,
8750161773ac6631,PMV.AX,Premier Investments,Consumer Discretionary,,,,AU,,,,,,
04fce370d6933f69,PNI.AX,Pinnacle Investment Management,Financials,,,,AU,,,,,,
e9a3035acb679a88,PPT.AX,Perpetual,Financials,,,,AU,,,,,,
91ab60a511582475,PRN.AX,Perenti,Materials,,,,AU,,,,,,
6b7925b76ff1b73e,PRU.AX,Perseus Mining,Materials,,,,AU,,,,,,
fc3973b18cb4b882,PXA.AX,Pexa Group,Real Estate,,,,AU,,,,,,
10214894adef7a92,QAN.AX,Qantas,Industrials,,,,AU,,,,,,
b3ae9ace3f5d3258,QBE.AX,QBE Insurance,Financials,,,,AU,,,,,,
e4ccb8342b4d446a,QUB.AX,Qube Holdings,Industrials,,,,AU,,,,,,
213488aaba547fc8,RDX.AX,Redox,Industrials,,,,AU,,,,,,
69956ccafe34f11a,REA.AX,REA Group,Communication Services,,,,AU,,,,,,
8fe2c4f370d65fb4,REG.AX,Regis Healthcare,Healthcare,,,,AU,,,,,,
792f927f04f1b7eb,REH.AX,Reece Group,Industrials,,,,AU,,,,,,
0b17ffe462339755,RGN.AX,Region Group,Real Estate,,,,AU,,,,,,
2ffff7e6890c9669,RHC.AX,Ramsay Health Care,Healthcare,,,,AU,,,,,,
c87c6a1ab0e1ab4c,RIO.AX,Rio Tinto,Materials,,,,AU,,,,,,
08a804fc31ecafdb,RMD.AX,ResMed,Healthcare,,,,AU,,,,,,
2611db6087bb88b5,RMS.AX,Ramelius Resources,Materials,,,,AU,,,,,,
c0fc45363ffe4670,RRL.AX,Regis Resources,Materials,,,,AU,,,,,,
fbfe5abf93f48356,RSG.AX,Resolute Mining,Materials,,,,AU,,,,,,
cbefe79ed76d2a90,RWC.AX,Reliance Worldwide Corporation,Industrials,,,,AU,,,,,,
d054c919ee850ee7,RYM.AX,Ryman Healthcare,Healthcare,,,,AU,,,,,,
ea805d77d5af3534,S32.AX,South32,Materials,,,,AU,,,,,,
90de099cc39935f8,SCG.AX,Scentre Group,Real Estate,,,,AU,,,,,,
a452729fc4a939bf,SDF.AX,Steadfast Group,Financials,,,,AU,,,,,,
d036493c21c0b848,SEK.AX,Seek,Communication Services,,,,AU,,,,,,
787c656fe2b6f03f,SFR.AX,Sandfire Resources,Materials,,,,AU,,,,,,
667f909028490ae5,SGH.AX,SGH,Industrials,,,,AU,,,,,,
074cfb1c9769f75c,SGM.AX,Sims Metal,Materials,,,,AU,,,,,,
e8750cb53a21e623,SGP.AX,Stockland,Real Estate,,,,AU,,,,,,
033727cbe73ba158,SHL.AX,Sonic Healthcare,Healthcare,,,,AU,,,,,,
00924d754ea9e0e4,SIG.AX,Sigma Healthcare,Healthcare,,,,AU,,,,,,
cdfbf9ad2c7b4346,SMR.AX,Stanmore Resources,Materials,,,,AU,,,,,,
f2350c2cb49165e9,SNZ.AX,Summerset Group Holdings,Healthcare,,,,AU,,,,,,
ce0d69426ad9cbc2,SOL.AX,Soul Patts,Financials,,,,AU,,,,,,
d1ca798429ee595c,SPK.AX,Spark New Zealand,Communication Services,,,,AU,,,,,,
194f15c29a40b2ba,STO.AX,Santos,Energy,,,,AU,,,,,,
f32d60baeaa1fb6c,SUL.AX,Super Retail Group,Consumer Discretionary,,,,AU,,,,,,
fd94821fae94ca79,SUN.AX,Suncorp,Financials,,,,AU,,,,,,
e163b5779ffe879f,TAH.AX,Tabcorp,Consumer Discretionary,,,,AU,,,,,,
ecae0c5dfb06e1ee,TCL.AX,Transurban,Industrials,,,,AU,,,,,,
583289af2650e041,TLC.AX,The Lottery Corporation,Consumer Discretionary,,,,AU,,,,,,
14acc49b927db00c,TLS.AX,Telstra,Communication Services,,,,AU,,,,,,
a61f793074db8a4f,TLX.AX,Telix Pharmaceuticals,Healthcare,,,,AU,,,,,,
9cb0904049710570,TNE.AX,TechnologyOne,Information Technology,,,,AU,,,,,,
10d100956c8b3a99,TPG.AX,TPG Telecom,Communication Services,,,,AU,,,,,,
09c305bf96a384b7,TUA.AX,Tuas,Communication Services,,,,AU,,,,,,
70e7aba6d9dc6b24,TWE.AX,Treasury Wine Estates,Consumer Staples,,,,AU,,,,,,
0cff2005a1f69cde,VAU.AX,Vault Minerals,Materials,,,,AU,,,,,,
d47a257f5f6f366e,VCX.AX,Vicinity Centres,Real Estate,,,,AU,,,,,,
d40541189f7b986c,VEA.AX,Viva Energy,Energy,,,,AU,,,,,,
a860255a6e7e5679,VGN.AX,Virgin Australia Holdings,Industrials,,,,AU,,,,,,
7606d3366f4e9875,VNT.AX,Ventia Services Group,Industrials,,,,AU,,,,,,
fefed92b51fe82fc,WAF.AX,West African Resources,Materials,,,,AU,,,,,,
9846b81916130c28,WAM.AX,WAM Capital,Financials,,,,AU,,,,,,
cd6b0542eb1ab9a1,WBC.AX,Westpac,Financials,,,,AU,,,,,,
3ecca4a1ae74792d,WDS.AX,Woodside Energy Group,Energy,,,,AU,,,,,,
17587b026a3b9821,WES.AX,Wesfarmers,Consumer Discretionary,,,,AU,,,,,,
594401232139cff9,WGX.AX,Westgold Resources,Materials,,,,AU,,,,,,
583c476e80279a19,WHC.AX,Whitehaven Coal,Energy,,,,AU,,,,,,
02cc90ad62ed4b59,WLE.AX,WAM Leaders,Financials,,,,AU,,,,,,
e09bc554018dfbdb,WOR.AX,Worley,Energy,,,,AU,,,,,,
d7378479e9c8639b,WOW.AX,Woolworths Group,Consumer Staples,,,,AU,,,,,,
786bf8da089db918,WTC.AX,Wisetech Global,Information Technology,,,,AU,,,,,,
6af4081d221d6402,XRO.AX,Xero,Information Technology,,,,AU,,,,,,
15d680677bca4435,XYX.AX,"Block, Inc.",Financials,,,,AU,,,,,,
5ff7b545a955f416,YAL.AX,Yancoal Australia,Materials,,,,AU,,,,,,
ff7bbda711f593bc,ZIM.AX,Zimplats Holdings,Materials,,,,AU,,,,,,
2cb3c9097e3ef4ab,ZIP.AX,Zip,Financials,,,,AU,,,,,,
